Organism,Scaffold,Start,End,Score,CAC37459.1,CAC37460.1,CAC37461.1,CAC37462.1,CAD55222.1,CAC44189.1,CAC44190.1,CAC44191.1,CAC44192.1,CAC44193.1,CAC44194.1,CAC44195.1,CAC44196.1,CAC44197.1,CAC44198.1,CAC44199.1,CAC44200.1,CAC44201.1,CAC44202.1,CAC44203.1,CAC44204.1,CAC44205.1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,5513919,5535202,44.3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,5513919,5535202,44.3545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000008.1,235737,257020,44.3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000008.1,235737,257020,44.3437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,5513808,5535091,44.3545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000008.1,235737,257020,44.3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000008.1,235737,257020,44.3437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000009.1,46680,67963,44.3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000009.1,46680,67963,44.3437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000010.1,235737,257020,44.3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000010.1,235737,257020,44.3437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
