Organism,Scaffold,Start,End,Score,CAB92267.1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,2944312,2944882,1.0366,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000020.1,61965,62535,1.0366,1
Streptomyces coelicolor A3(2),AL645882.2,2944305,2944875,1.0366,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,5673632,5674202,1.0366,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000022.1,84464,85034,1.0366,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000019.1,84464,85034,1.0366,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000044.1,15247,15817,1.0366,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000056.1,15098,15668,1.0366,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000002.1,284515,285085,1.0366,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000001.1,291404,291974,1.0366,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000001.1,1126382,1126952,1.0366,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,5326109,5326679,1.0363,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,5563238,5563808,1.0363,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000002.1,357168,357738,1.0363,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000015.1,111653,112223,1.0363,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000026.1,37318,37888,1.0363,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000002.1,443653,444223,1.0363,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000001.1,505002,505572,1.0363,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000022.1,109750,110320,1.0363,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000007.1,22474,23044,1.0362,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,5682737,5683307,1.0362,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000003.1,110876,111446,1.0361,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000005.1,129600,130170,1.0361,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000011.1,95596,96166,1.0361,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000010.1,111119,111689,1.0361,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000001.1,356256,356826,1.0361,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,3129772,3130342,1.0361,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000002.1,359794,360364,1.0360,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,5442443,5443013,1.0359,1
