Organism,Scaffold,Start,End,Score,CAA19960.1,CAA19961.1,CAA19962.1,CAA19963.1
Streptomyces coelicolor A3(2),AL645882.2,7419663,7426391,7.4254,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,7419778,7426506,7.4254,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,7419856,7426506,7.4148,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000002.1,249299,255949,7.4200,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000002.1,249299,255949,7.4148,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,7419663,7426391,7.4254,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,7419741,7426391,7.4148,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000034.1,23311,29961,7.4200,1,1,1,1
Streptomyces sp. NRRL_B-16638,JARAWB010000034.1,23311,29961,7.4148,1,1,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000119.1,10051,16701,7.4200,1,1,1,1
Streptomyces sp. ME02-6977A,JARAYD010000119.1,10051,16701,7.4148,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000002.1,110458,117204,7.4139,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000027.1,23323,29979,7.4157,1,1,1,1
Streptomyces sp. WM6391,JXWX01000027.1,23323,29979,7.4105,1,1,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000089.1,10045,16773,7.4140,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000011.1,59613,66293,7.4130,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000009.1,185114,191710,7.4121,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,7449208,7455954,7.4124,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,7449208,7455954,7.4073,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,7446714,7453460,7.4124,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,7446714,7453460,7.4073,1,1,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000108.1,9301,15975,7.4110,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000011.1,47380,54054,7.4110,1,1,1,1
Streptomyces sp. E5N91,NZ_RAIE01000763.1,8435,15079,7.4102,1,1,1,1
