Organism,Scaffold,Start,End,Score,NP_626681.1,NP_626682.1,NP_626683.1,NP_626684.1,NP_626685.1,NP_626686.1,NP_626687.1,NP_626688.1,NP_626689.1,NP_626690.1,NP_626691.1,NP_626692.1,NP_626693.1,NP_626694.1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000002.1,65184,86952,28.3150,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000002.1,65184,86952,28.3174,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,5750028,5771824,28.3151,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,6001192,6022928,28.3137,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000004.1,218249,240020,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000006.1,75272,97043,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000007.1,167864,189644,28.3160,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000016.1,275,9301,15.5483,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000005.1,191385,213152,28.3152,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000007.1,69024,90791,28.3152,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000007.1,10908,32661,28.3140,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000027.1,27054,48843,28.3126,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000001.1,621059,642828,28.3137,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000002.1,191377,213145,28.3150,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000001.1,722016,743776,28.3173,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,2800116,2821873,28.3133,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000006.1,74000,95787,28.3147,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000006.1,74000,95787,28.3171,1,1,1,1,1,1,1,1,1,1,1,1,1,1
