Organism,Scaffold,Start,End,Score,CAB53319.1,CAB53320.1,CAB53321.1,CAB53322.1,CAB53323.1,CAB53324.1,CAB53325.1,CAB53326.1,CAB53327.1,CAB53328.1,CAB53329.1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000001.1,137327,159985,22.4255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000001.1,137327,159985,22.4265,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000010.1,71353,93997,22.4269,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000010.1,71353,93997,22.4281,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000001.1,447743,470401,22.4266,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000001.1,905794,928452,22.4268,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,490557,513209,22.4326,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,CP108200.1,490557,513209,22.4315,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,7921758,7944403,22.4324,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,7955147,7977799,22.4320,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,8083677,8106329,22.4263,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,8148593,8171245,22.4311,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,CP109275.1,8148593,8171245,22.4300,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,7790716,7813448,22.4278,1,1,1,1,1,1,1,1,1,1,1
