Organism,Scaffold,Start,End,Score,CAC37460.1,CAC37461.1,CAD55222.1,CAC44193.1,CAC44197.1,CAC44199.1,CAC44200.1,CAC44201.1,CAC44202.1,CAC44203.1,CAC44204.1,CAC44205.1
Streptomyces lividans TK24,GG657756.1,2928211,2949078,23.7957,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,2961056,2981813,23.7953,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,2961056,2981813,23.7866,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,5556939,5577696,23.7953,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,CM001889.1,5556954,5577696,23.7945,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,2968016,2988773,23.7866,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,2966708,2987465,23.7866,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,5335894,5356636,23.7855,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000009.1,218540,239309,23.7956,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000009.1,218540,239309,23.7869,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000007.1,3918,24675,23.7962,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000007.1,3918,24675,23.7875,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000009.1,364045,384802,23.7952,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000009.1,364045,384787,23.7854,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000036.1,53,6210,13.3989,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000036.1,53,6210,13.3902,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,5390114,5410871,23.7963,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,CP108200.1,5390114,5410871,23.7876,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,2893440,2914197,23.7950,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,CP109102.1,2893440,2914197,23.7863,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,3101716,3122473,23.7951,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,CP109205.1,3101716,3122473,23.7864,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,3210049,3230806,23.7954,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,CP109275.1,3210049,3230806,23.7867,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,2840375,2861144,23.7939,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,CP109571.1,2840375,2861144,23.7870,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000015.1,3922,24703,23.7956,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,JAPFQR010000015.1,3922,24703,23.7869,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000234.1,3241,9398,13.3997,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000044.1,53514,59671,13.3990,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000026.1,53656,74425,23.7973,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000043.1,53543,59700,13.3997,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000026.1,114,6271,13.3990,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000055.1,81,6238,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000061.1,12752,18909,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000052.1,28545,34702,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000226.1,40,6197,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000060.1,55,6212,13.3997,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000060.1,52,6209,13.3997,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000076.1,21368,27525,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000007.1,351559,357716,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000096.1,50,6207,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000094.1,53,6210,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000070.1,48,6205,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000070.1,55,6212,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000072.1,85,6242,13.3995,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000005.1,154999,175756,23.7960,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000052.1,28573,34730,13.3990,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000007.1,55,6212,13.3991,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000041.1,28559,34716,13.3990,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000002.1,43349,64118,23.7957,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000015.1,158536,179293,23.7949,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000005.1,365393,386340,23.7962,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000009.1,361549,382404,23.7954,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000019.1,28663,49616,23.7954,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000005.1,351316,372073,23.7952,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000012.1,53791,74560,23.7967,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000001.1,698013,718976,23.7948,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000004.1,13060,34011,23.7955,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000024.1,3940,24697,23.7951,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,5550891,5571648,23.7871,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,3204518,3225275,23.7950,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,CP109242.1,3204518,3225275,23.7863,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000045.1,100,6257,13.3989,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,5514433,5535202,23.7975,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,5514433,5535202,23.7978,1,1,1,1,1,1,1,1,1,1,1,1
