Organism,Scaffold,Start,End,Score,CAB53319.1,CAB53320.1,CAB53322.1,CAB53328.1,CAB53329.1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000001.1,137327,159985,9.9458,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000010.1,71353,93997,9.9470,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000001.1,447743,470401,9.9464,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000001.1,905794,928452,9.9464,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,490557,513209,9.9516,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,7921758,7944403,9.9518,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,7955147,7977799,9.9516,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,8083677,8106329,9.9466,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,8148593,8171245,9.9507,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,7790716,7813448,9.9476,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000001.1,676032,698683,9.9477,1,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000011.1,115894,138532,9.9498,1,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000012.1,70641,93254,9.9532,1,1,1,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000009.1,137133,159759,9.9554,1,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000012.1,136921,159547,9.9554,1,1,1,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000001.1,427112,449741,9.9487,1,1,1,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000006.1,69521,92134,9.9543,1,1,1,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000004.1,284777,307447,9.9464,1,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000011.1,127561,150181,9.9459,1,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000009.1,58,22728,9.9479,1,1,1,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000048.1,17926,40593,9.9470,1,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000047.1,19036,41703,9.9470,1,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000005.1,103530,126194,9.9469,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000001.1,274991,297658,9.9465,1,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000004.1,19052,41719,9.9465,1,1,1,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000007.1,115883,138550,9.9465,1,1,1,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000007.1,19052,41719,9.9465,1,1,1,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000001.1,19036,41703,9.9465,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000001.1,274991,297658,9.9465,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000029.1,19046,41698,9.9460,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000015.1,136860,159512,9.9465,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000002.1,210288,232906,9.9477,1,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000003.1,155611,178240,9.9487,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000003.1,335994,358612,9.9488,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000009.1,220119,242763,9.9470,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000002.1,374371,397029,9.9499,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000001.1,445413,468071,9.9499,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000003.1,136966,159595,9.9481,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000002.1,548346,570966,9.9483,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000005.1,155749,178407,9.9460,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000002.1,225952,248602,9.9478,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000002.1,155890,178519,9.9474,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,495972,518630,9.9466,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,458764,481422,9.9461,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,7837916,7860574,9.9464,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,466847,489505,9.9464,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,7873404,7896062,9.9464,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,7853274,7875932,9.9464,1,1,1,1,1
