Organism,Scaffold,Start,End,Score,CAC36059.1,CAD55403.1,CAC44647.1,CAC44648.1,CAC44649.1,CAC44650.1,CAC44651.1,CAC44652.1,CAC44653.1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,8279792,8288199,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,8279792,8288199,17.5365,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000005.1,129825,138232,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000005.1,129825,138232,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,8279636,8288043,17.5365,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000006.1,129857,138264,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,JAATOK010000006.1,129857,138264,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000005.1,130145,138552,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000005.1,130145,138552,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000005.1,130145,138552,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000005.1,130145,138552,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000005.1,130248,138655,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000005.1,130248,138655,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000005.1,300280,308687,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000005.1,300280,308687,17.5363,1,1,1,1,1,1,1,1,1
