Organism,Scaffold,Start,End,Score,CAB39692.1,CAB39693.1,CAB39695.1,CAB39696.1,CAB39697.1,CAB39699.1,CAB39701.1,CAB39702.1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000047.1,259,8671,11.4911,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus JCM 3037,BMPR01000047.1,259,8671,11.4898,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000106.1,7176,13918,9.4197,1,1,1,1,1,0,0,0
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000047.1,17750,30703,15.7152,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000001.1,447839,460792,15.7152,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000031.1,32741,45694,15.7155,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000017.1,21300,34253,15.7152,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000001.1,19809,32762,15.7142,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,1001937,1014890,15.7146,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,CP109205.1,1001937,1014890,15.7135,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000004.1,331554,344507,15.7150,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,989522,1002484,15.7143,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,CP109571.1,989522,1002484,15.7132,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000052.1,29534,37955,11.4902,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000070.1,28692,37113,11.4905,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000080.1,450,8871,11.4915,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000018.1,19371,32333,15.7148,1,1,1,1,1,1,1,1
