Organism,Scaffold,Start,End,Score,CAB87217.1,CAB87218.1,CAB87219.1,CAB87220.1,CAB87221.1,CAB87222.1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000006.1,133729,141056,11.4633,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000006.1,133729,141056,11.4632,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000002.1,483387,490705,11.4624,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,5468922,5476249,11.4628,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,CP109205.1,5468922,5476249,11.4627,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,5231770,5239097,11.4633,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000134.1,2521,9839,11.4624,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000015.1,15484,22811,11.4637,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000005.1,25154,32482,11.4663,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000047.1,15571,22899,11.4663,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000005.1,217122,224451,11.4628,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000034.1,8706,16034,11.4631,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000011.1,184471,191801,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000010.1,15484,22814,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000033.1,71712,79042,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000003.1,253918,261248,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000050.1,42030,49360,11.4642,1,1,1,1,1,1
