Organism,Scaffold,Start,End,Score,CAB38581.1,CAB38582.1,CAB38583.1,CAB38584.1,CAB38585.1,CAB38586.1,CAB38587.1,CAB38588.1,CAB38589.1,CAB38590.1,CAB38591.1,CAB38592.1,CAB38593.1,CAB38594.1,CAB38595.1,CAB38596.1,CAB38597.1,CAD55497.1,CAB38520.1,CAB38519.1,CAB38518.1,CAB38517.1,CAD55498.1,CAB38877.1,CAB38878.1,CAB38879.1,CAB38880.1,CAB38881.1,CAB38882.1,CAB38883.1,CAB38884.1,CAB38885.1,CAB38886.1,CAB38887.1,CAB38888.1,CAB38889.1,CAB38890.1,CAB38891.1,CAB38892.1,CAB38893.1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,3519497,3602369,84.2431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,3519497,3602369,84.2463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,3519448,3602320,84.2464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,3552412,3635211,84.1943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,CP108200.1,3552412,3635211,84.1968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000009.1,86720,169603,84.2053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,5014502,5097286,84.2044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,4661479,4745581,84.1923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,CP109571.1,4661479,4745581,84.1948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000035.1,45,69337,63.4173,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000015.1,12422,95324,84.2096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000035.1,41,69653,63.4194,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000030.1,67,69620,63.4121,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000013.1,75674,158603,84.2057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000014.1,84668,167552,84.2109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000009.1,113272,196129,84.2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000011.1,74947,157804,84.1906,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000011.1,74900,158018,84.2003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000010.1,68882,151680,84.1978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,3707659,3790571,84.2061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000008.1,67263,150061,84.2135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000008.1,67263,150061,84.1375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000020.1,205,83102,84.1965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,4769097,4851935,84.1896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,CP109102.1,4769097,4851935,84.1921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,4878572,4961410,84.2085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
