Organism,Scaffold,Start,End,Score,CAB94607.1,CAB94608.1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000007.1,170974,173442,3.1673,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000007.1,171046,173442,3.1623,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000005.1,268511,270979,3.1670,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000005.1,268511,270907,3.1620,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,5556764,5559232,3.1673,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,2744994,2747462,3.1671,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,3055177,3057645,3.1670,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,3061939,3064407,3.1672,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,2691864,2694332,3.1673,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000044.1,38089,40557,3.1673,1,1
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000470.1,585,3053,3.1673,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000006.1,211845,214313,3.1673,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000021.1,59742,62210,3.1673,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000015.1,87245,89713,3.1673,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000060.1,38121,40589,3.1673,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000008.1,211694,214162,3.1673,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000003.1,64431,66899,3.1673,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000003.1,69016,71484,3.1673,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000007.1,152325,154793,3.1673,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000008.1,261274,263742,3.1673,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000002.1,555014,557482,3.1673,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000005.1,216672,219140,3.1673,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000009.1,212833,215301,3.1669,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000002.1,313512,315980,3.1669,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000005.1,202947,205415,3.1673,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000011.1,214930,217398,3.1673,1,1
