Organism,Scaffold,Start,End,Score,CAB39692.1,CAB39693.1,CAB39694.1,CAB39695.1,CAB39696.1,CAB39697.1,CAB39698.1,CAB39699.1,CAB39700.1,CAB39701.1,CAB39702.1,CAB39703.1,CAB39704.1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000047.1,259,8671,15.5421,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus JCM 3037,BMPR01000047.1,259,8671,15.5408,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000106.1,7176,13918,11.4301,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000047.1,16946,30703,25.8916,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000001.1,447839,461596,25.8916,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000031.1,31937,45694,25.8905,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000017.1,20496,34253,25.8901,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000001.1,19005,32762,25.8893,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,1001133,1014890,25.8898,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,CP109205.1,1001133,1014890,25.8887,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000004.1,330750,344507,25.8899,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,988718,1002484,25.8907,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,CP109571.1,988718,1002484,25.8896,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000052.1,29534,37955,15.5413,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000070.1,28692,37113,15.5415,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000080.1,450,8871,15.5424,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000018.1,18567,32333,25.8898,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000004.1,471967,485733,25.8898,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000004.1,263644,277410,25.8898,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000057.1,318,8739,15.5421,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus IPS92w,JAPFQR010000057.1,318,8739,15.5410,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000059.1,29075,37496,15.5413,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000040.1,29083,42849,25.8886,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000048.1,366,8787,15.5416,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000024.1,30785,44551,25.8897,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,7303142,7316908,25.8896,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,CP108200.1,7303142,7316908,25.8885,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000012.1,180357,194123,25.8899,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000084.1,318,8739,15.5425,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000052.1,17021,30787,25.8899,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000073.1,318,8739,15.5425,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000072.1,318,8739,15.5425,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000051.1,25576,39342,25.8899,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000030.1,17021,30787,25.8899,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000003.1,266610,280375,25.8894,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000001.1,567223,580989,25.8899,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000009.1,255,8676,15.5421,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000028.1,24487,38253,25.8895,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000028.1,24487,38253,25.8871,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,1024221,1037986,25.8894,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,CP109102.1,1024221,1037986,25.8883,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,1033282,1047048,25.8895,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,CP109275.1,1033282,1047048,25.8884,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000003.1,263432,277198,25.8896,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000030.1,16423,30198,25.8890,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000030.1,16423,30198,25.8866,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,1236423,1250198,25.8890,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,CP109242.1,1236423,1250198,25.8879,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000001.1,266423,280198,25.8890,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000002.1,211724,225499,25.8890,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000001.1,604876,618650,25.8894,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000029.1,18432,32207,25.8896,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000022.1,28678,42453,25.8890,1,1,1,1,1,1,1,1,1,1,1,1,1
