Organism,Scaffold,Start,End,Score,CAC36752.1,CAC36753.1,CAC36754.1,CAC36755.1,CAC36756.1,CAC36757.1,CAC36758.1,CAC36759.1,CAC36760.1,CAC36761.1,CAC36762.1,CAC36763.1,CAC36764.1,CAC36765.1,CAC36766.1,CAC36767.1,CAC36768.1,CAC36769.1,CAC36770.1,CAC36771.1,CAC36772.1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000029.1,741,20084,42.1284,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000029.1,741,20084,42.1225,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000053.1,4143,23486,42.1284,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000053.1,4143,23486,42.1154,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109276.1,230210,249549,42.1301,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000016.1,9836,29179,42.1284,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000024.1,88023,107366,42.1284,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109103.1,89139,108487,42.1278,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000023.1,27029,46372,42.1309,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000304.1,28563,47906,42.1292,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,JAAGMQ010000304.1,28563,47906,42.1283,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000023.1,55271,74615,42.1295,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000023.1,102871,122213,42.0979,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000026.1,97574,116918,42.1330,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000046.1,14690,34033,42.1332,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. E5N91,NZ_RAIE01000817.1,13453,32802,42.1289,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052727,NZ_JBFATK010000007.1,135816,156020,41.9600,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052721,NZ_JBFATL010000052.1,27438,47639,41.9670,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL S-31,NZ_JOCB01000032.1,13846,33509,38.8330,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1
Streptomyces sp. NBC_01336,NZ_CP108369.1,82956,103948,39.7122,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000026.1,15481,36069,39.7123,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005423,NZ_JBEXET010000025.1,88817,110113,36.6782,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC102282,NZ_JBIWLR010000022.1,32057,56194,39.7163,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor,KC907349.1,231548,250890,42.1438,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AJ276673.1,795,20139,42.1318,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL589148.1,231675,251017,42.1438,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00656 NBC 00656,NZ_CP109033.1,9494360,9515536,39.7109,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00656 NBC 00656,CP109033.1,60037,81213,39.7098,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00656 NBC 00656,CP109033.1,9494360,9515536,39.7098,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces poriferorum Alt2,NZ_CP120988.1,71029,93085,39.7108,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces poriferorum Alt4,NZ_JARVXU010000002.1,70368,92424,39.7108,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces kaempferi CGMCC 4.7020,NZ_JBHSKH010000016.1,1346,24094,36.6626,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0
Streptomyces kaempferi CGMCC 4.7020,NZ_JBHTMM010000089.1,6794,29542,36.6625,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0
Streptomyces kaempferi CGMCC 4.7020,JBHTMQ010000012.1,603908,633774,31.5463,1,1,0,1,1,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1
Streptomyces ziwulingensis JCM 18081,NZ_BAABIG010000007.1,161319,180547,39.7100,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces ziwulingensis JCM 18081,BAABIG010000007.1,161319,180547,39.7023,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces mirabilis NBC_01472,NZ_JAPEPS010000003.1,328002,353744,39.7182,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces mirabilis NBC_01472,JAPEPS010000003.1,328002,353744,39.7169,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Streptomyces mirabilis ATCC 31561,JAPTYI010000003.1,104159,125096,39.7160,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Amycolatopsis japonica NPDC089911,NZ_JBIVGJ010000024.1,86068,101246,29.5207,1,1,1,1,1,1,1,1,1,0,2,1,1,0,1,1,1,1,1,1,0
Amycolatopsis roodepoortensis DSM 46661,NZ_JADBEJ010000005.1,3422442,3437818,29.5192,1,1,1,1,1,1,1,1,1,0,2,1,1,0,1,1,1,1,1,1,0
Amycolatopsis roodepoortensis DSM 46661,JADBEJ010000005.1,3422442,3437818,29.5149,1,1,1,1,1,1,1,1,1,0,2,1,1,0,1,1,1,1,1,1,0
