Organism,Scaffold,Start,End,Score,CAA16486.1,CAA16487.1,CAA16488.1,CAA16489.1,CAD55237.1,CAA16173.1,CAA16174.1,CAA16175.1,CAA16176.1,CAA16177.1,CAA16178.1,CAA16179.1,CAA16180.1,CAA16181.1,CAA16182.1,CAA16183.1,CAA16184.1,CAA16185.1,CAA16186.1,CAD55238.1,CAA16434.1,CAA16435.1
Streptomyces coelicolor A3(2),AL645882.2,6432565,6464206,45.0007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,6432679,6464320,45.0005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,6432910,6464320,44.9816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000007.1,157757,189371,44.9985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000007.1,157961,189371,44.9821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,JAGPYG010000019.1,0,22590,32.3914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces sp. RK76,NZ_JAGPYG010000019.1,0,22359,32.3734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces sp. SID7813,WWHF01000001.1,6432565,6464206,45.0007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,6432796,6464206,44.9821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,6506708,6538300,44.9370,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,6506927,6538300,44.9196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,6509198,6540791,44.9899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,6509417,6540791,44.9725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,MUYY01000004.1,71804,103178,44.8738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000004.1,71804,102959,44.8565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000013.1,71926,103336,44.9747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000004.1,157895,189307,44.9804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000018.1,0,22058,32.3538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces sp. ME01-18h,NZ_JARAYG010000002.1,438653,470066,44.9756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,2073894,2105294,44.9747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000013.1,157787,189182,44.9811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,CP074111.1,6076202,6107532,44.7190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,6076337,6107532,44.7123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS159,KZ195577.1,2065447,2096833,41.5868,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS159,NZ_KZ195577.1,2065447,2096809,44.7229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AD681,NZ_JAQISL010000027.1,43008,74578,44.7067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BK208,SOAV01000015.1,148594,180104,44.6843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BK208,NZ_SOAV01000015.1,148630,180104,44.6818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000023.1,2084,33454,44.9290,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000073.1,6762,38109,44.9293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
