Organism,Scaffold,Start,End,Score,CAB41566.1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,6666332,6668513,1.1496,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000009.1,227810,229991,1.1496,1
Streptomyces coelicolor A3(2),AL645882.2,6666218,6668399,1.1496,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000009.1,339064,341245,1.1496,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000017.1,139944,142125,1.1496,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000016.1,139941,142122,1.1496,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000017.1,66059,68240,1.1496,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000016.1,66059,68240,1.1496,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,6653386,6655567,1.1496,1
Streptomyces coelicolor,CP133591.1,6257039,6259220,1.1496,1
Streptomyces coelicolor M22,CP133590.1,6667423,6669604,1.1496,1
Streptomyces coelicolor M1152,CP181172.1,6559724,6561905,1.1496,1
Streptomyces coelicolor JCM 4020,AP025454.1,6803174,6805355,1.1486,1
Streptomyces coelicolor CAI-140,JAANOB010000005.1,65821,67978,1.1316,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000008.1,57595,59776,1.1496,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000074.1,28560,30741,1.1496,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,6666218,6668399,1.1496,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000023.1,125586,127767,1.1494,1
Streptomyces sp. E5N91,NZ_RAIE01000730.1,7957,10138,1.1487,1
Streptomyces sp. RK76,NZ_JAGPYG010000007.1,216951,219132,1.1487,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000213.1,3094,5275,1.1487,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000047.1,41518,43699,1.1487,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000002.1,229945,232126,1.1487,1
Streptomyces sp. 2114.2,NZ_LT629768.1,6785248,6787429,1.1486,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,6782754,6784935,1.1486,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000052.1,6028,8209,1.1485,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000015.1,49360,51541,1.1485,1
Streptomyces sp. WM6391,NZ_JXWX01000110.1,10316,12497,1.1484,1
Streptomyces sp. 111WW2,NZ_MUYY01000136.1,8057,10238,1.1484,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,1866007,1868188,1.1484,1
Streptomyces sp. LRa12,NZ_SSBN01000061.1,43650,45831,1.1482,1
Streptomyces sp. SID5926,WWHV01001416.1,429,2610,1.1469,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000008.1,44666,46847,1.1467,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000001.1,403877,406058,1.1467,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000037.1,44649,46830,1.1459,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000004.1,108318,110529,1.1457,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000005.1,179045,181268,1.1449,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000005.1,244159,246382,1.1449,1
Streptomyces sp. CB09001,NZ_CP026730.1,5947570,5949781,1.1449,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000006.1,263159,265370,1.1446,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000030.1,21514,23725,1.1446,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000004.1,712037,714248,1.1435,1
Streptomyces sp. AD681,NZ_JAQISL010000005.1,378730,380941,1.1434,1
Streptomyces sp. RK23,NZ_JAGPYB010000024.1,47314,49525,1.1434,1
Streptomyces sp. RK74B,NZ_JAGPYE010000007.1,189003,191214,1.1434,1
Streptomyces sp. SID5914,WWHW01000419.1,1969,4180,1.1434,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000012.1,99026,101237,1.1433,1
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,5558007,5560218,1.1433,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000011.1,103899,106110,1.1432,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000005.1,102808,105019,1.1432,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000020.1,52281,54492,1.1431,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000446.1,2428,4639,1.1427,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000205.1,2429,4640,1.1427,1
Streptomyces sp. PB17,NZ_JBJPFQ010000024.1,5690,7901,1.1424,1
Streptomyces sp. CS113,NZ_KZ195574.1,1974799,1977010,1.1424,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000001.1,394487,396680,1.1423,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000002.1,41923,44116,1.1423,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000016.1,83808,86019,1.1422,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000009.1,158347,160546,1.1422,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000028.1,76752,78954,1.1421,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000001.1,1218459,1220661,1.1421,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000006.1,136228,138430,1.1420,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000002.1,471317,473510,1.1420,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000016.1,168594,170796,1.1420,1
Streptomyces sp. MH60,NZ_MULI01000043.1,5532,7731,1.1420,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000006.1,162821,165032,1.1419,1
Streptomyces sp. V17-9,NZ_CP074111.1,6381318,6383520,1.1419,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,1801363,1803565,1.1419,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,1796868,1799070,1.1419,1
Streptomyces sp. SID10362,NZ_JAAGLJ010000189.1,5653,7855,1.1419,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000020.1,120311,122513,1.1419,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000001.1,1107156,1109358,1.1419,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000011.1,175554,177756,1.1419,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000027.1,75874,78076,1.1419,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000005.1,280031,282233,1.1419,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000008.1,365086,367285,1.1419,1
Streptomyces sp. x-45,NZ_JAJPWL010000009.1,129210,131415,1.1419,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000026.1,67650,69852,1.1414,1
Streptomyces sp. NPDC059409,NZ_JBHYWH010000196.1,5998,8200,1.1414,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000002.1,56627,58838,1.1413,1
Streptomyces sp. G3,NZ_JAMOZC010000001.1,284845,287047,1.1412,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000001.1,456115,458317,1.1412,1
