Organism,Scaffold,Start,End,Score,CAB60184.1,CAB60185.1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000003.1,2086,3796,3.1073,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000003.1,2086,3796,3.1006,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000005.1,459607,461317,3.1073,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000005.1,459607,461317,3.1060,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000004.1,2003,3713,3.1073,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000004.1,2003,3713,3.1060,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000013.1,239944,241654,3.1073,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000013.1,239944,241654,3.1006,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,6747280,6748990,3.1073,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,1572572,1574282,3.1073,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,1781172,1782894,3.1073,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,1843202,1844912,3.1073,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,1888813,1890523,3.1073,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,1536484,1538194,3.1073,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000074.1,6376,8086,3.1073,1,1
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000534.1,1405,3115,3.1073,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000007.1,2155,3865,3.1073,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000006.1,290812,292522,3.1073,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000042.1,72040,73750,3.1073,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000007.1,3480,5190,3.1073,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000054.1,2006,3716,3.1073,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000063.1,47917,49627,3.1073,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000008.1,2339,4049,3.1073,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000108.1,2697,4407,3.1073,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000039.1,72484,74194,3.1073,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000009.1,209562,211272,3.1073,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000040.1,2570,4280,3.1073,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000009.1,3041,4751,3.1073,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000056.1,125,1835,3.1073,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000005.1,2048,3758,3.1073,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000041.1,2048,3758,3.1073,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000019.1,3041,4751,3.1073,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000004.1,617488,619198,3.1073,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000046.1,3213,4923,3.1073,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000011.1,290863,292573,3.1073,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000011.1,2048,3758,3.1073,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000009.1,2006,3716,3.1073,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000004.1,626950,628660,3.1073,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000043.1,2064,3774,3.1073,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000003.1,3128,4838,3.1073,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000013.1,290639,292349,3.1073,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000011.1,333090,334800,3.1073,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000013.1,211604,213314,3.1073,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000013.1,2444,4154,3.1073,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000003.1,615997,617707,3.1073,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000004.1,4111,5821,3.1073,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,6876101,6877811,3.1073,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000010.1,282456,284166,3.1033,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000107.1,24851,26610,3.0952,1,1
Streptomyces lividans 1326,NZ_CM001889.1,6968813,6970523,3.1073,1,1
Streptomyces lividans 1326,CM001889.1,6968813,6970523,3.1006,1,1
Streptomyces lividans TK24,NZ_CP009124.1,1563775,1565485,3.1073,1,1
Streptomyces lividans TK23,AP025539.1,6752206,6753916,3.1060,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,1570735,1572445,3.1073,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,1569427,1571137,3.1073,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,6890641,6892351,3.1073,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000009.1,3972,5682,3.1073,1,1
Streptomyces coelicolor A3(2),AL645882.2,6890527,6892237,3.1073,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,1595462,1597172,3.1073,1,1
