Organism,Scaffold,Start,End,Score,CAC01488.1,CAC01489.1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000001.1,1210263,1212599,3.1571,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000001.1,1210185,1212599,3.1571,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,7239228,7241564,3.1571,1,1
Streptomyces anthocyanicus NBC 01687,CP109205.1,7239228,7241642,3.1571,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,7359818,7362154,3.1571,1,1
Streptomyces anthocyanicus NBC 01636,CP109275.1,7359818,7362232,3.1571,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000003.1,233141,235477,3.1571,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000001.1,1015707,1018043,3.1571,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000001.1,266645,268981,3.1571,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000001.1,266389,268725,3.1571,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000001.1,71022,73358,3.1571,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000001.1,71022,73358,3.1571,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000002.1,33485,35821,3.1571,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000001.1,1015707,1018043,3.1571,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000008.1,70863,73199,3.1571,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000003.1,582099,584435,3.1571,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000003.1,71010,73346,3.1571,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000007.1,30969,33305,3.1571,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000001.1,562859,565195,3.1571,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000011.1,47610,49946,3.1571,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000001.1,562827,565163,3.1571,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000001.1,562749,565163,3.1571,1,1
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000088.1,4799,7213,3.1571,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000011.1,131478,133892,3.1571,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000008.1,216175,218589,3.1571,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000008.1,216175,218589,3.1571,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000008.1,70782,73196,3.1571,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000004.1,193990,196404,3.1571,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,1439240,1441654,3.1568,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000016.1,89276,91612,3.1566,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000007.1,211070,213406,3.1566,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000007.1,210861,213197,3.1566,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000008.1,215474,217810,3.1569,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000011.1,188959,191295,3.1566,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000010.1,70831,73245,3.1566,1,1
