Organism,Scaffold,Start,End,Score,CAB87219.1,CAB87220.1,CAB87221.1,CAB87222.1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,3035647,3040689,7.3413,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,3035647,3040689,7.3415,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000010.1,256083,261125,7.3413,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,3035640,3040682,7.3415,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000013.1,27471,32513,7.3413,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000009.1,256083,261125,7.3413,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000010.1,27440,32482,7.3413,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000016.1,186002,191044,7.3413,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000015.1,185999,191041,7.3413,1,1,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,3007461,3012503,7.3413,1,1,1,1
Streptomyces coelicolor,CP133591.1,2626573,2631615,7.3413,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,3035684,3040726,7.3413,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,3035697,3040739,7.3413,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,3192848,3197887,7.3384,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000012.1,185947,190989,7.3413,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000012.1,95319,100361,7.3413,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,3035640,3040682,7.3413,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,3035640,3040682,7.3415,1,1,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000137.1,13887,18929,7.3412,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000008.1,74110,79149,7.3388,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000017.1,75513,80555,7.3393,1,1,1,1
Streptomyces sp. LRa12,SSBN01000017.1,75513,80555,7.3396,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,3230479,3235518,7.3383,1,1,1,1
