Organism,Scaffold,Start,End,Score,CAB60184.1,CAB60185.1,CAB60186.1,CAB60187.1,CAB60188.1,CAB60189.1,CAD55505.1,CAC22143.1,CAC22144.1,CAC22145.1,CAD55506.1,CAC37877.1,CAC37878.1,CAC37879.1,CAC37880.1,CAC37881.1,CAC37882.1,CAC37883.1,CAC37884.1,CAC37885.1,CAC37886.1,CAC37887.1,CAC37888.1,CAC37890.1
Streptomyces anthocyanicus NBC_00116,CP108200.1,6747280,6805112,50.6044,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,1516343,1574282,50.5948,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,CP109102.1,1516343,1574282,50.6060,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,CP109205.1,1725008,1782894,50.6044,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,CP109242.1,1787024,1844912,50.6017,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,1832640,1890523,50.5965,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,CP109275.1,1832640,1890523,50.6043,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,1480295,1538194,50.5911,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,CP109571.1,1480295,1538194,50.6022,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,6876101,6933968,50.6085,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,1507596,1565485,50.6044,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,1507596,1565485,50.6053,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,6752206,6810095,50.6001,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,1514556,1572445,50.6053,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,1513248,1571137,50.6053,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,6890641,6948528,50.6257,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,6890641,6948528,50.6284,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,6890527,6948414,50.6284,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,1539248,1597172,50.5987,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,CP137734.1,1539248,1597172,50.6063,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,7027528,7085452,47.4728,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,6481348,6539235,50.6257,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,6891732,6949619,50.6257,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,1584563,1642439,50.6065,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,7013228,7071127,50.5984,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,7013228,7071127,50.5993,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,6890527,6948414,50.6257,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,6890527,6948414,50.6284,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
